date,event_name,expected_demand_multiplier
2023-01-01,New Year,1.25
2023-01-26,Republic Day,1.35
2023-03-08,International Women's Day,1.10
2023-03-25,Holi,1.45
2023-04-14,Dravidian New Year,1.12
2023-08-15,Independence Day,1.30
2023-09-06,Ganesh Chaturthi,1.35
2023-10-02,Gandhi Jayanti,1.15
2023-10-24,Dussehra,1.40
2023-10-31,Diwali Week,1.50
2023-11-12,Diwali,1.60
2023-12-25,Christmas,1.20
2024-01-01,New Year,1.25
2024-01-26,Republic Day,1.35
2024-03-25,Holi,1.45
2024-04-14,Dravidian New Year,1.12
2024-08-15,Independence Day,1.30
2024-09-07,Ganesh Chaturthi,1.35
2024-10-02,Gandhi Jayanti,1.15
2024-10-12,Dussehra,1.40
2024-10-31,Diwali Week,1.50
2024-11-01,Diwali,1.60
2024-12-25,Christmas,1.20
